rank,configuration,mean_d_truth,std_d_truth,mean_alpha,mean_beta
1,Daubechies 12 + LFCC (c1),1.7081,0.0000,0.2459,0.9435
2,Daubechies 8 + LFCC (c1),1.7042,0.0000,0.2399,0.9351
3,Daubechies 32 + LFCC (c1),1.7029,0.0000,0.2476,0.9401
4,Daubechies 38 + LFCC (c1),1.7004,0.0000,0.2516,0.9410
5,Daubechies 44 + LFCC (c1),1.6991,0.0000,0.2522,0.9403
6,Daubechies 42 + LFCC (c1),1.6988,0.0000,0.2533,0.9409
7,Daubechies 36 + LFCC (c1),1.6963,0.0000,0.2564,0.9412
8,Daubechies 34 + LFCC (c1),1.6956,0.0000,0.2563,0.9404
9,Daubechies 22 + LFCC (c1),1.6941,0.0000,0.2588,0.9410
10,Daubechies 16 + LFCC (c1),1.6940,0.0000,0.2601,0.9420
11,Daubechies 18 + LFCC (c1),1.6935,0.0000,0.2596,0.9411
12,Daubechies 6 + LFCC (c1),1.6922,0.0000,0.2474,0.9303
13,Daubechies 24 + LFCC (c1),1.6920,0.0000,0.2617,0.9414
14,Daubechies 46 + LFCC (c1),1.6916,0.0000,0.2612,0.9407
15,Daubechies 20 + LFCC (c1),1.6867,0.0000,0.2669,0.9407
16,Daubechies 14 + LFCC (c1),1.6841,0.0000,0.2746,0.9444
17,Daubechies 40 + LFCC (c1),1.6840,0.0000,0.2686,0.9397
18,Daubechies 30 + LFCC (c1),1.6838,0.0000,0.2674,0.9385
19,Daubechies 26 + LFCC (c1),1.6820,0.0000,0.2711,0.9398
20,Daubechies 8 + LFCC (c2),1.6809,0.0000,0.2755,0.9423
21,Daubechies 6 + LFCC (c2),1.6770,0.0000,0.2746,0.9381
22,Daubechies 12 + LFCC (c2),1.6765,0.0000,0.2850,0.9455
23,Daubechies 28 + LFCC (c1),1.6762,0.0000,0.2767,0.9390
24,Daubechies 10 + LFCC (c1),1.6722,0.0000,0.2418,0.9074
25,Daubechies 32 + LFCC (c2),1.6675,0.0000,0.2881,0.9399
26,Daubechies 44 + LFCC (c2),1.6649,0.0000,0.2918,0.9404
27,Daubechies 42 + LFCC (c2),1.6641,0.0000,0.2931,0.9407
28,Daubechies 38 + LFCC (c2),1.6640,0.0000,0.2932,0.9407
29,Daubechies 4 + LFCC (c1),1.6630,0.0000,0.2596,0.9136
30,Daubechies 16 + LFCC (c2),1.6619,0.0000,0.2978,0.9422
31,Daubechies 22 + LFCC (c2),1.6612,0.0000,0.2974,0.9414
32,Daubechies 34 + LFCC (c2),1.6612,0.0000,0.2962,0.9404
33,Daubechies 36 + LFCC (c2),1.6598,0.0000,0.2991,0.9414
34,Daubechies 46 + LFCC (c2),1.6597,0.0000,0.2985,0.9409
35,Daubechies 4 + LFCC (c2),1.6580,0.0000,0.2818,0.9267
36,Daubechies 18 + LFCC (c2),1.6578,0.0000,0.3011,0.9411
37,Daubechies 24 + LFCC (c2),1.6555,0.0000,0.3039,0.9412
38,Daubechies 10 + LFCC (c2),1.6543,0.0000,0.2766,0.9192
39,Daubechies 20 + LFCC (c2),1.6520,0.0000,0.3067,0.9402
40,Daubechies 30 + LFCC (c2),1.6513,0.0000,0.3061,0.9391
41,Daubechies 40 + LFCC (c2),1.6511,0.0000,0.3078,0.9401
42,Daubechies 14 + LFCC (c2),1.6465,0.0000,0.3179,0.9435
43,Daubechies 26 + LFCC (c2),1.6458,0.0000,0.3127,0.9391
44,Daubechies 28 + LFCC (c2),1.6403,0.0000,0.3181,0.9382
45,Haar + LFCC (c2),1.5348,0.0000,0.3225,0.8478
46,Haar + LFCC (c1),1.5143,0.0000,0.3087,0.8177
